numero_de_trabajador,distrito,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario, amortizacion_infonavit , fonacot ,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios, gasolina ,amv,laborados
639,POZA RICA,8400.00,7000.00,730.00,0.00,0.00,0.00,0.00,0.00,6000.00,0.00,0.00,0.00,0.00,31
2617,POZA RICA,5500.00,0.00,461.41,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2545,POZA RICA,3400.00,0.00,271.32,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,31
2485,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2360,POZA RICA,4500.00,0.00,368.31,2145.31,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2428,POZA RICA,3000.00,0.00,228.51,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2470,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2355,POZA RICA,6000.00,0.00,508.56,0.00,2958.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2228,POZA RICA,7000.00,0.00,602.87,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2027,POZA RICA,5500.00,0.00,461.41,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2554,POZA RICA,7000.00,0.00,602.87,3915.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2532,POZA RICA,6000.00,0.00,508.56,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2008,POZA RICA,6600.00,0.00,572.52,3667.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2051,POZA RICA,7000.00,0.00,611.04,3180.15,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,31
2559,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2328,POZA RICA,6000.00,0.00,508.56,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2577,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2606,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2378,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2600,POZA RICA,5000.00,0.00,414.25,2329.26,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2459,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
1103,POZA RICA,13672.00,0.00,1239.00,0.00,0.00,0.00,0.00,0.00,6000.00,0.00,0.00,2000.00,7500.00,31
2389,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2621,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2581,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2558,POZA RICA,3400.00,1600.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2064,POZA RICA,5000.00,0.00,414.25,1877.74,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2607,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2614,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2582,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2419,POZA RICA,5000.00,0.00,414.25,5318.51,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
1118,POZA RICA,4000.00,0.00,323.37,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2423,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2053,POZA RICA,7000.00,0.00,611.04,3565.18,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,0.00,31
2575,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2399,POZA RICA,6000.00,0.00,508.56,2893.48,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2590,POZA RICA,9000.00,0.00,803.03,0.00,0.00,0.00,0.00,0.00,6000.00,0.00,0.00,0.00,0.00,31
2519,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2014,POZA RICA,5000.00,0.00,414.25,4153.56,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2069,POZA RICA,7000.00,0.00,602.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2400.00,0.00,31
2209,POZA RICA,3400.00,0.00,271.32,1385.15,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2567,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2473,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2217,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2451,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2610,POZA RICA,3400.00,0.00,271.32,7802.66,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2501,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2595,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2604,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2622,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2043,POZA RICA,5500.00,0.00,461.41,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2090,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2243,POZA RICA,7000.00,0.00,602.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2613,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2525,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2405,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2618,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2594,POZA RICA,3400.00,1600.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
